Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
SJ000032726,,72.00,,180.00,,,2.50,,CCCCCOc1ccc(cc1)N(C(C)=O)C1=C(C(=O)c2ccccc2C1=O)N1CCOCC1
HL16,,72.00,,216.00,,,3.00,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1cccnc1
MMV006319,,72.20,,5000.00,,,69.25,,Cc1cc(Nc2cccc(F)c2)nc(NCc3ccccc3)n1
GNF-Pf-3703,,73.70,,,598.12,,,8.12,CC(=O)N(C1=CC=C(I)C=C1)C2=C(N3CCOCC3)C(=O)C4=CC=CC=C4C2=O
GNF-Pf-3254,,74.30,,,309.43,,,4.16,CC(=O)N(C1=CC=C(F)C(F)=C1)C2=C(N3CCOCC3)C(=O)C4=CC=CC=C4C2=O
GNF-Pf-5461,,76.00,,,1250.00,,,16.45,COC1=CC=C(NC(=O)C2C(N(CC(C)C)C(=O)C3=CC=CC=C23)C4=CC=CS4)C=C1OC
PP37,,77.00,,145.00,,,1.88,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2cccc(N)c2)N(C)C1=O
SJ000001054,,77.00,,440.00,,,5.71,,Fc1ccc(cc1)N(C(C)=O)C1=C(C(=O)c2ccccc2C1=O)N1CCOCC1
DC10,,77.70,,1180.00,,,15.19,,CS(=O)(=O)c1cccc(c1)c1cnc2ccc(nn12)c1ccc(cc1)S(C)=O
MMV008149,,78.20,,5000.00,,,63.94,,Cc1c(C)n(Cc2ccc(F)cc2)c3ccc(cc13)C(=O)NCc4occc4
GNF-Pf-5564,,78.30,,,415.39,,,5.31,CCOC1=CC=C(NC(=O)C2C(N(CC(C)C)C(=O)C3=CC=CC=C23)C4=CC=CS4)C=C1
GNF-Pf-5558,,79.60,,,259.96,,,3.27,[O-][N+](=O)C1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=S)NCC3=CC=CC=C3
HL30,,80.00,,169.00,,,2.11,,FC(F)(F)c1cc(ccc1)N1c2c3cc(ccc3ncc2C=CC1=O)c1c[NH]nc1
GNF-Pf-5620,,80.50,,,764.76,,,9.50,CCOC(=O)C1=C(NC(C)=O)SC2=C(O)C(CNC3CCCCC3)=CC=C12
MMV675704,,80.72,,1789.00,,,22.16,,CS(=O)(=O)c1cccc(NC(=O)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C5CC5)c1
PP22,,81.00,,186.00,,,2.30,,CC(=O)Nc1ccc(cn1)c1ccc2ncc3NC(=O)N(c4cc(ccc4)C(F)(F)F)c3c2c1
GNF-Pf-2357,,81.50,,,792.19,,,9.72,CCCC[N+]1=C(SC2=CC=CC=C12)C=C3C=CC4=CC=CC=C4N3CC
BRD-K27989629-001-01-7,,81.99,,,5000.00,,,60.98,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCCCC2)Oc2ncc(\C=C\c3ccccc3)cc2C1=O
GNF-Pf-3930,,82.00,,,556.56,,,6.79,CN(C)C1=C(N(C(C)=O)C2=CC=C(Cl)C(Cl)=C2)C(=O)C3=CC=CC=C3C1=O
MMV011259,,85.70,,5000.00,,,58.34,,n1(n2)c(nc(C)cc1Nc(cc(C)cc3C)c3)nc2C(F)(F)F
MMV006513,,86.00,,5000.00,,,58.14,,C(Cc1c[nH]c2ccccc12)Nc3c4ccccc4nc5ccccc35
PP35,,86.00,,87.00,,,1.01,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2ccc(N)cc2)N(C)C1=O
MMV634140,,86.00,,390.00,,,4.53,,Clc1ccc2nc(cc(c2c1)C(=O)NCCN1CCCC1)NCCN1CCOCC1
TCMDC-138757,,86.90,,17.67,,,0.20,,COc1cc2nc(nc(N)c2cc1OC)N1CCC(CNCc2ccc(cc2)-c2ccc(cc2)C(F)(F)F)CC1
GNF-Pf-5342,,87.80,,,399.28,,,4.55,[O-][N+](=O)C1=CC(=CC=C1N2CCCN(CC2)C(=S)NC3=CC=CC=C3)C(F)(F)F
PP62,,88.00,,126.00,,,1.43,,Nc1ccc(cn1)c1cc2c(cc1)ncc1c2N(C(=O)N1C)c1cccc(OC)c1
GNF-Pf-5526,,88.50,,,779.20,,,8.80,CC(C)CN1C(C(C(=O)NC2=CC=CC(Cl)=C2)C3=CC=CC=C3C1=O)C4=CC=CS4
MK18,,89.00,,4100.00,,,46.07,,FC(C=C1)=CC=C1CN2C3=CC=CC=C3N=C2NC4CCN(CCC5=CC(OC)=CC=C5)CC4
MMV396679,,89.90,,5000.00,,,55.62,,c1(cc(c2ccc(OC)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4
FH1i,,90.00,,5000.00,,,55.56,,CC(C)(C)c1ccc(cc1)C(=O)NOCCCCCC(=O)NO
GNF-Pf-396,,90.40,,,165.39,,,1.83,CC1=C(C(=O)NCCCN2C=CN=C2)C3=C(O1)C(=O)C4=CC=CC=C4C3=O
PP11,,91.00,,97.00,,,1.07,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1ccc(N)nc1
GNF-Pf-3195,,91.10,,,89.22,,,0.98,COC1=CC2=NC(=NC(N)=C2C=C1OC)N3CCN(CC3)C4=NC(N)=C5C=C(OC)C(OC)=CC5=N4
GNF-Pf-5424,,91.50,,,842.51,,,9.21,[O-][N+](=O)C1=CC=C(N=C1)N2CCCN(CC2)C(=S)NC3=CC=CC=C3
TCMDC-137259,,92.00,,210.00,,,2.28,,Cl.CC(C)NCc1ccc(OCc2cccc(COc3ccc(CNC(C)C)cc3I)c2)c(I)c1
HL18,,92.00,,246.00,,,2.67,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1ccncc1
MMV396680,,92.80,,5000.00,,,53.88,,c1(cc(c2ccc(C)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4
SJ000024933,,93.00,,100.00,,,1.08,,Ic1cccc(c1)N(C1=C(C(=O)c2ccccc2C1=O)N(C)C)C(C)=O
PP17,,93.00,,359.00,,,3.86,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2ccncc2)N(C)C1=O
GNF-Pf-3758,,93.30,,,428.26,,,4.59,COC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(NC3=CC=CC=C3)C(=O)C4=CC=CC=C24
GNF-Pf-5391,,94.10,,,1031.22,,,10.96,CC(=NO)C1=CC=C(NC2=C(N3CCCCC3)C(=O)C4=CC=CC=C4C2=O)C=C1
MMV085499,,95.00,,550.00,140.00,,5.79,1.47,NC(=O)c1ccc(cc1)c2nc(cnc2N)c3ccc(cc3)C#N
PP15,,95.00,,236.00,,,2.48,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2cccnc2)N(C)C1=O
MMV669289,,95.69,,1489.00,,,15.56,,CS(=O)(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cncc(c4)S(=O)(=O)C
GNF-Pf-5611,,97.10,,,17.89,,,0.18,CC1=CC=C2C=CC3=CC=C(C)N=C3C2=N1
MMV010576,,97.13,,150.00,66.00,,1.54,0.68,COc1cc(ccc1O)c2cc(cnc2N)c3ccc(cc3)S(=O)(=O)C
GNF-Pf-3914,,97.50,,,394.79,,,4.05,CCN1C2=CC=CC=C2N=C1N=NC3=CC=C(OC)C=C3
TCMDC-124791,,97.57,,470.00,,,4.82,,COc1cccc(CC(=O)N2CCC(CC2)n2c(C)nc3ccc(C)cc23)c1
PP60,,98.00,,118.00,,,1.20,,Nc1ccc(cn1)c1cc2c(cc1)ncc1c2N(C(=O)N1C)c1ccc(C#N)cc1
HL51,,98.00,,247.00,,,2.52,,CC(C)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1ccc(N)nc1
SJ000044720,,100.00,,1680.00,,,16.80,,Fc1cccc(c1)NC1=C(C(=O)c2ccccc2C1=O)N1CCCCC1
FH1a,,100.00,,330.00,,,3.30,,Cc1cc(C)cc(c1)C(=O)NOCCCCCC(=O)NO
GNF-Pf-5541,,100.40,,,1101.36,,,10.97,[O-][N+](=O)C1=CC=C(C=C1NC2CC2)N3CCN(CC3)C(=O)C4=CC=CO4
TCMDC-133343,,101.00,,1243.33,,,12.31,,COc1cc(ccc1O)-c1cc(cnc1N)-c1ccc(cc1)S(C)(=O)=O
TCMDC-136289,,101.41,,533.33,,,5.26,,Cc1nc2c(Nc3ccc(cc3)-c3ccncc3)ncnc2n1-c1ccc(C)cc1C
DC1,,104.00,,5000.00,,,48.08,,O=C(O)c1ccc(cc1)c1cnc2ccc(nn12)c1cccc(c1)S(C)=O
PP58,,104.00,,237.00,,,2.28,,FC(F)(F)c1ccc(cc1)N1c2c(cnc3ccc(cc32)c2ccc(N)nc2)N(C)C1=O
MMV007686,,106.00,,5000.00,,,47.17,,CCCCCCOC(=O)C1=C(C)NC(=O)NC1c2ccccc2F
GNF-Pf-3760,,107.40,,,602.25,,,5.61,CC1=CC=C(CN2C(=N)N(CC(O)C3=CC=C(Cl)C(Cl)=C3)C4=CC=CC=C24)C=C1
PP40,,109.00,,294.00,,,2.70,,NC(=O)c1ccc(cc1)c1ccc2ncc3NC(=O)N(c4cc(ccc4)C(F)(F)F)c3c2c1
TCMDC-138416,,110.00,,480.00,,,4.36,,CN(C)CCN(C)Cc1cccc(c1)-c1ccc2c(Nc3ccc(F)cc3Cl)ccnc2c1
GNF-Pf-5388,,110.40,,,1250.00,,,11.32,[O-][N+](=O)C1=CC=C(N=C1)N2CCCN(CC2)C(=S)NC3=CC=C(F)C=C3Br
TCMDC-135406,,110.64,,715.00,,,6.46,,CCN(CC)CCCNc1nccc(n1)N1CCc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2C1
TCMDC-138205,,111.00,,480.00,,,4.32,,Cl.Cc1ccc(cc1)C(=O)Nc1ccc(Nc2ccnc3cc(ccc23)-c2ccccn2)cc1O
GNF-Pf-4739,,112.80,,,138.77,,,1.23,CC1=CC=NC(NC2=NC(=CS2)C3=CC=CC=N3)=C1
TCMDC-137977,,113.00,,550.00,,,4.87,,CC(C)(C)c1ccc(cc1)-c1cc2c(ccc3nc(N)nc(N)c23)[nH]1
MMV006522,,113.50,,5000.00,,,44.05,,CCOc1ccc2nc(C)cc(Nc3ccc(Br)cc3)c2c1
GNF-Pf-5344,,113.70,,,298.30,,,2.62,CCOC(=O)C1C(CC2=C(C(C3=CC=C(C=C3)[N+]([O-])=O)C(=C(C)N2)C(=O)OCC)C1=O)C4=CC=CC=C4OC
PP39,,114.00,,229.00,,,2.01,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2ccc(O)cc2)N(C)C1=O
GNF-Pf-5386,,114.00,,,212.97,,,1.87,COC1=CC(OC)=C(NC(=O)C2C(N(CC(C)C)C(=O)C3=CC=CC=C23)C4=CC=CS4)C=C1Cl
GNF-Pf-4773,,114.10,,,419.66,,,3.68,N(C1=NC(=CS1)C2=CC=CC=N2)C3=CC=CC=N3
MMV011944,,114.60,,5000.00,,,43.63,,n1c(NCCO)c2c(cccc2)nc1Nc3cccc(OC)c3
TCMDC-137750,,115.00,,1025.00,,,8.91,,Cl.C(CCCCNc1ccnc2ccccc12)CCCCNc1ccnc2ccccc12
MMV667613,,115.95,,5000.00,,,43.12,,CNc1nc(NC(C)(C)C)c2sc(cc2n1)c3ccc(cc3)C(F)(F)F
TCMDC-139725,,117.00,,260.00,,,2.22,,Br.N(c1nc(cs1)-c1ccc(cc1)-c1csc(Nc2ccncc2)n1)c1ccncc1
MMV011256,,117.18,,5000.00,,,42.67,,n1(n2)c(nc(C)cc1Nc(cc3)ccc3Cl)nc2C(F)(F)F
TCMDC-138009,,117.38,,795.00,,,6.77,,Cl.C(CCN1CCN(Cc2ccccc2)CC1)CNc1c2ccccc2nc2ccccc12
TCMDC-138177,,117.67,,1995.00,,,16.95,,OC(=O)C(F)(F)F.COc1cc2nc(NCc3cccc(CNC(=O)c4ccc(cc4)-c4ccc(cc4)C(C)=O)c3)nc(N)c2cc1OC
MMV006457,,118.00,,5000.00,,,42.37,,CCOC(=O)c1ccc2nc(cc(O)c2c1)c3ccccc3
MMV006250,,118.70,,5000.00,,,42.12,,CCOC(=O)c1cnc2c(C)cccc2c1Nc3ccc(cc3)C(=O)C
GNF-Pf-5179,,119.10,,,1250.00,,,10.50,CC(C)CC(N)C(=O)N1CCN2C(C1)=NC(C3=CC=CC=C3)=C2NC4=CC=C5OCOC5=C4
TCMDC-140136,,119.49,,200.00,,,1.67,,Cl.Clc1ccc(\C=C\C(=O)N2CCC(CCN3CCC(CC3)c3c[nH]c4cnccc34)CC2)cc1Cl
FH1b,,120.00,,250.00,,,2.08,,Cc1ccc(cc1C)C(=O)NOCCCCCC(=O)NO
GNF-Pf-5268,,120.60,,,532.46,,,4.42,CC(C)CN1C(C(C(=O)NC2=CC=C(F)C(Cl)=C2)C3=CC=CC=C3C1=O)C4=CC=CS4
GNF-Pf-4604,,120.80,,,167.45,,,1.39,O=C(NC1=CC=C(C=C1)C2=NC3=CC=CC=C3N2)C4=CC=CC(=N4)C(=O)NC5=CC=C(C=C5)C6=NC7=CC=CC=C7N6
TCMDC-137734,,122.00,,1213.33,,,9.95,,Cl.COc1ccc2nc(cc(NCCCNc3cc(nc4ccc(OC)cc34)-c3ccccc3)c2c1)-c1ccccc1
MMV692676,,122.00,,349.00,,,2.86,,Fc1ccccc1CCC(=O)NC(CC)CNC(=O)C(O)C(C)(C)CO
TCMDC-141381,,122.83,,270.00,,,2.20,,ON=C1CCc2cc(ccc12)-c1cc(oc1-c1ccncc1)-c1ccc(OC2CCNCC2)cc1
GNF-Pf-5192,,122.90,,,216.10,,,1.76,CCN1C(NNC(N)=S)C(NNC(N)=S)N(CC)C1=O
GNF-Pf-5216,,123.20,,,76.13,,,0.62,CCSC(Cl)=C(NC(=O)C1=CC=CC=C1)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
TCMDC-137476,,124.19,,1876.67,,,15.11,,Cl.COc1ccc2nc3cc(Cl)ccc3c(NCCN3CCN(C)CC3)c2c1
GNF-Pf-5138,,125.10,,,782.14,,,6.25,CC1=CC(C)=C2N(C(=O)COC3=NC4=CC=CC=C4S3)C(C)(C)C5=C(C(=S)SS5)C2=C1
TCMDC-135853,,126.00,,896.67,,,7.12,,COc1ccc(cc1OC)-c1cnc2[nH]cc(-c3ccncc3)c2c1
TCMDC-131825,,127.27,,300.00,,,2.36,,CCC1=C(CC2NCCc3cc(OC)c(OC)cc23)CC2N(CCc3cc(OC)c(OC)cc23)C1
HL19,,128.00,,246.00,,,1.92,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)C=1C=CC(=O)NC=1
TCMDC-133924,,129.00,,460.00,,,3.57,,OC(=O)C(F)(F)F.Fc1ccc2[nH]c(nc2c1)-c1ccc(cc1)-c1ccc(CN2CCC(CCN3CCCCC3)CC2)cc1
MMV665923,,134.30,,5000.00,,,37.23,,FC(F)(F)c1cccc(c1)N2N=Nc3ccccc3C2=N
TCMDC-138754,,138.88,,110.00,,,0.79,,COc1cc2nc(nc(N)c2cc1OC)N1CCC(CNC(=O)c2ccc(cc2)-c2ccc(cc2)-c2noc(C)n2)CC1
MMV884957,,139.00,,1000.00,,,7.19,,Fc1ccccc1CCCS(=O)(=O)C(C)CNC(=O)C(O)C(C)(C)CO
MMV001041,,139.90,,1350.00,,,9.65,,OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc3ccccc13
TCMDC-133920,,139.97,,293.33,,,2.10,,OC(=O)C(F)(F)F.C(CN1CCCCC1)C1CCN(Cc2cccc(c2)-c2cccc(c2)-c2nc3ccccc3[nH]2)CC1
MMV019066,,140.00,,5000.00,,,35.71,,COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccsc3C2=O
TCMDC-132030,,140.22,,485.00,,,3.46,,Nc1c2ccccc2nc2ccc(cc12)-c1ccccc1
TCMDC-133923,,140.45,,463.33,,,3.30,,OC(=O)C(F)(F)F.Cc1cccc2nc([nH]c12)-c1ccc(s1)-c1cccc(CN2CCC(CCN3CCCCC3)CC2)c1
TCMDC-133940,,142.00,,433.33,,,3.05,,OC(=O)C(F)(F)F.Fc1ccc2[nH]c(nc2c1)-c1cccc(c1)-c1ccc(CN2CCC(CCN3CCCCC3)CC2)cc1
TCMDC-133932,,142.10,,139.67,,,0.98,,OC(=O)C(F)(F)F.Fc1ccc2[nH]c(nc2c1)-c1ccc(s1)-c1ccc(CN2CCC(CCN3CCCCC3)CC2)cc1
TCMDC-142289,,142.74,,410.00,,,2.87,,Cl.Nc1c(I)cc(cc1I)C(=O)Nc1ccc2nc3CCCCc3c(N)c2c1
TCMDC-133929,,143.80,,266.67,,,1.85,,OC(=O)C(F)(F)F.Cc1cccc2nc([nH]c12)-c1ccc(cc1)-c1ccc(CN2CCC(CCN3CCCCC3)CC2)cc1
BRD-K47463456-001-01-7,,145.49,,,506.21,,,3.48,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C[C@]31CCN(CC1)C(=O)Nc1ccccc1)S(C)(=O)=O
TCMDC-123865,,145.98,,260.00,,,1.78,,COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1
MMV1542106,,147.00,,36.00,,,0.24,,Fc1ccc(CCC(=O)NC(C)CNC(=O)C(O)C(C)(C)CO)cc1
TCMDC-125200,,147.35,,840.00,,,5.70,,CCOc1ccc(cc1OCC)-c1nonc1NC(=O)c1cccc(Cl)c1
HL35,,148.00,,252.00,,,1.70,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1ccc2[NH]ccc2c1
TCMDC-137461,,148.45,,550.00,,,3.70,,Cl.CCCCN(CCCC)CCCCNc1c2ccccc2nc2ccccc12
MMV006825,,150.80,,5000.00,,,33.16,,n1c(Nc(cc2)ccc2OC)cc(C)nc1NCc3ccccc3
MMV689845,,151.00,,104.00,,,0.69,,Fc1ccc(CCC(=O)NC(C)CNC(=O)C(O)C(C)(C)CO)cc1
TCMDC-133941,,153.00,,510.00,,,3.33,,OC(=O)C(F)(F)F.FC(F)(F)c1ccc2[nH]c(nc2c1)-c1ccc(cc1)-c1cccc(CN2CCC(CCN3CCCCC3)CC2)c1
MMV666601,,154.00,,5000.00,,,32.47,,CCOC(=O)C1=C(N=C2SC(=Cc3cc(C)n(c3C)c4ccc(F)cc4)C(=O)N2C1c5cccc(OC)c5OC)c6ccccc6
TCMDC-137751,,155.00,,1080.00,,,6.97,,Cl.C(CCCCNc1ccnc2ccccc12)CCCNc1ccnc2ccccc12
HL15,,155.00,,357.00,,,2.30,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1cc(N)cnc1
HL20,,155.00,,754.00,,,4.86,,FC(F)(F)c1ccc(cn1)c1cc2c(cc1)ncc1C=CC(=O)N(c3cc(ccc3)C(F)(F)F)c12
MMV023233,,156.61,,3080.00,400.00,,19.67,2.55,Nc1nccc2ccc(cc12)c3ccc4nccn4c3
TCMDC-123792,,157.35,,1786.67,,,11.35,,Cn1nc(c(c1NC(=O)Cc1ccccc1F)-c1ccc(Br)cc1)C(F)(F)F
TCMDC-124478,,157.35,,912.50,,,5.80,,Cc1nn2c(Nc3ccncc3)cc(C)nc2c1-c1ccc(Cl)cc1
TCMDC-137984,,157.52,,205.00,,,1.30,,Cl.CC(C)(C)c1ccc(cc1)-c1nc2c(ccc3nc(N)nc(N)c23)[nH]1
MMV006169,,157.90,,5000.00,1710.00,,31.67,10.83,C(Nc1nc(Nc2ccccc2)nc3ccccc13)c4ccccc4
DDD01251782,,158.00,,,3763.92,,,23.82,CCC1=C(C)C2=CC(C)=CC(CNC3=NC(C)=CC(NC)=N3)=C2N1
PP25,,158.00,,294.00,,,1.86,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2ccc(O)nc2)N(C)C1=O
FH1k,,160.00,,500.00,,,3.13,,O=C(NOCCCCCC(=O)NO)c1ccc(cc1)c1ccccc1
TCMDC-138218,,160.43,,200.00,,,1.25,,COc1ccc2nc3cc(Cl)ccc3c(NCCCCNc3c4ccc(Cl)cc4nc4ccc(OC)cc34)c2c1
TCMDC-138015,,161.50,,250.00,,,1.55,,Cl.CCCCCCCCN1CCN(CCCCCCNc2c3ccccc3nc3ccccc23)CC1
TCMDC-137354,,162.00,,2300.00,,,14.20,,Cl.C(c1ccc(Nc2c3ccccc3nc3ccccc23)cc1)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1
TCMDC-140137,,162.94,,1446.67,,,8.88,,Cl.Cc1cccc2[nH]cc(C3CCN(CC4CCC(CC4)NC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c12
TCMDC-124805,,165.75,,256.67,,,1.55,,FC(F)(F)c1ccc(CC2CCN(CC2)C(=O)c2ccc(o2)N(=O)=O)cc1
DDD01065539,,165.75,,5000.00,,,30.17,,Cc1cc(C)c(CNCC(O)c2ccc(F)c(F)c2)c(C)c1
MMV665876,,166.67,,5000.00,5000.00,,30.00,30.00,CCC(c1ccccc1)c2nn3c(nnc3s2)c4cccs4
GNF-Pf-3641,,166.70,,,297.20,,,1.78,[O-][N+](=O)C1=CC(Br)=C(NC2=CC=CC=C2)C(=C1)[N+]([O-])=O
TCMDC-137569,,167.10,,1190.00,,,7.12,,Cl.CCCCN1CCN(CCCCNc2c3ccccc3nc3ccccc23)CC1
TCMDC-137869,,168.00,,83.33,,,0.50,,CS(O)(=O)=O.COc1c(CCNCCCCNCCc2cc(Cl)c3ccccc3c2OC)cc(Cl)c2ccccc12
MMV665796,,168.32,,5000.00,,,29.71,,CCOc1cc(Br)c(cc1OCC)C(C)NC(=O)c2cccc(OC)c2
GNF-Pf-2453,,169.30,,,966.89,,,5.71,COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(CC(O)(CC4OC5CC(N)C(O)C(C)O5)C(=O)CO)C(O)=C3C2=O
MMV019258,,170.00,,5000.00,,,29.41,,COc1ccc(c(OC)c1)n2ccnc2SCC(=O)Nc3cc(C)ccc3C
GM10,,170.00,,3320.00,,,19.53,,N#CC1=C(C(F)(F)F)C=C(NC2=CC=C(OC(F)(F)F)C=C2)N3C1=NC4=CC=CC=C43
GM49,,170.00,,370.00,,,2.18,,ClC1=C(Cl)C=C(N=C2N3C(NCC4=C(F)C=CC=C4)=CC(C(F)(F)F)=C2C#N)C3=C1
DDD01034957,,171.50,,5000.00,5000.00,,29.15,29.15,COc1cccc(c1)-n1ccc2nc(ncc2c1=O)N1CCCC1
MMV011099,,172.67,,5000.00,,,28.96,,n1(ncn2)c2nc(C)cc1Nc(ccc(cccc3)c34)c4
TCMDC-123493,,174.00,,563.33,,,3.24,,COc1ccc(C[C@@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1
MMV665979,,174.20,,5000.00,,,28.70,,FC(F)(F)c1cccc(CNC2CCN(CCc3ccccc3)CC2)c1
MMV976386,,175.00,,1000.00,,,5.71,,CC(C)(CO)C(O)C(=O)NCC(C)NC(=O)CC(C)C
TCMDC-134719,,177.85,,2776.67,,,15.61,,COCCn1c(nn(-c2ccc(cc2C#N)N(=O)=O)c1=S)-c1cccc(Cl)c1
TCMDC-137979,,179.83,,1300.00,,,7.23,,CCOCn1c(cc2c1ccc1nc(N)nc(N)c21)-c1ccccc1
MMV020885,,180.00,,5000.00,,,27.78,,COc1ccc(Br)cc1C2Nc3ccc4ccccc4c3C5=C2C(=O)CC(C5)c6ccccc6
SJ000032725,,180.00,,980.00,,,5.44,,CCCCCOc1ccc(cc1)N(C(C)=O)C1=C(C(=O)c2ccccc2C1=O)N1CCCCC1
PP18,,180.00,,320.00,,,1.78,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1ccc(C)nc1
BRD-K19818397-001-01-8,,181.20,,,5000.00,,,27.59,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc2c(NC(=O)C3CC3)cccc2C1=O
TCMDC-137909,,181.73,,105.00,,,0.58,,Cl.C(CNCc1c2ccccc2cc2ccccc12)CN1CCN(CCCNCc2c3ccccc3cc3ccccc23)CC1
BRD-K73703617-001-01-9,,181.86,,,2681.21,,,14.74,CCCC(=O)N1CC[C@@]2(CC1)CN([C@@H](CO)c1[nH]c3cc(OC)ccc3c21)S(=O)(=O)c1ccc(C)cc1
PP13,,183.00,,205.00,,,1.12,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2ccc(N)nc2)N(CC)C1=O
GNF-Pf-5314,,183.10,,,622.12,,,3.40,CC(C)C1=NC(N2CCN(CC2)C(=S)NCC3=CC=CC=C3)=C(C#N)C4=C1COC(C)(C)C4
TCMDC-137578,,183.43,,660.00,,,3.60,,Cl.COc1ccc2nc3cc(Cl)ccc3c(NCCCCN3CCNCC3)c2c1
TCMDC-133872,,183.82,,826.67,,,4.50,,OC(=O)C(F)(F)F.NC1CCN(Cc2ccc(cc2)-c2ccc(cc2)-c2nc3cc(F)ccc3[nH]2)C1
PP45,,184.00,,2160.00,,,11.74,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2cccc(C#N)c2)N(C)C1=O
TCMDC-140677,,184.94,,590.00,,,3.19,,COc1cc(NCCCNCc2cn(Cc3cc(Br)cc(Br)c3)c3ccccc23)nc2ccccc12
GNF-Pf-2153,,185.10,,,174.28,,,0.94,COC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(NC3=CC=C(O)C=C3)C(=O)C4=CC=CC=C24
TCMDC-135184,,185.54,,1425.00,,,7.68,,OC(=O)C(F)(F)F.COc1cccc(Nc2c(cnc3ccc(cc23)-c2ccc(cc2)S(C)=O)C(N)=O)c1
TCMDC-133351,,186.58,,1176.67,,,6.31,,COc1ccc(cn1)-c1cc(cnc1N)-c1ccc(cc1)S(C)(=O)=O
MMV688754,,187.00,,140.00,,,0.75,,CO\N=C(/C(=O)OC)\c1ccccc1CO\N=C(/C)\c2cccc(c2)C(F)(F)F
MMV665940,,187.50,,5000.00,,,26.67,,CCOc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1
MMV674333,,189.12,,1986.00,,,10.50,,CS(=O)(=O)c1ccc(CNC(=O)c2cnc(N)c(c2)c3ccc(cc3)C(F)(F)F)cc1
FH1d,,190.00,,430.00,,,2.26,,Cc1cccc(c1)C(=O)NOCCCCCC(=O)NO
TCMDC-131563,,190.00,,550.00,,,2.89,,Cl.C[C@H](Cc1ccc(OCCCCCOc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1
TCMDC-137913,,191.22,,963.33,,,5.04,,Cl.C(CCCNc1ccnc2ccccc12)CCNc1ccnc2ccccc12
MMV007275,,191.40,,5000.00,,,26.12,,Cc1ccc(F)cc1NC(=O)c2cc(Cl)ccc2Nc3ccccc3
TCMDC-124790,,192.79,,923.33,,,4.79,,Cc1nc2ccc(F)cc2n1C1CCN(CC1)C(=O)Cc1cc(C)ccc1C
GNF-Pf-2325,,192.90,,,1135.77,,,5.89,CC[N+]1=C(OC(C2=CC=CC=C2)=C1C3=CC=CC=C3)C=CN(C)C4=CC=CC=C4
